0,0,0,2011
1,1,1,2011
2,0,2,2011
3,2,3,2011
4,0,4,2011
5,0,4,2011
6,3,5,2011
7,0,2,2011
8,4,6,2011
9,0,7,2011
10,0,2,2011
11,0,8,2011
12,0,9,2011
13,2,10,2011
14,0,11,2011
5,0,12,2011
15,2,13,2011
16,2,14,2011
17,2,15,2011
18,0,2,2011
19,2,13,2011
20,1,16,2011
21,1,17,2011
22,1,18,2011
23,2,10,2011
24,1,19,2011
25,1,20,2011
26,1,21,2011
27,5,22,2011
28,1,23,2011
29,5,22,2011
30,5,24,2011
31,5,25,2011
32,5,25,2011
33,1,26,2011
34,5,27,2011
35,1,28,2011
24,5,29,2011
36,5,29,2011
37,5,30,2011
38,5,30,2011
39,1,17,2011
40,5,31,2011
12,2,32,2011
41,3,33,2011
42,0,34,2011
43,2,35,2011
44,3,36,2011
34,2,37,2011
8,6,38,2011
45,7,39,2011
46,2,40,2011
47,0,41,2011
16,0,42,2011
48,2,35,2011
49,0,43,2011
50,2,44,2011
51,2,45,2011
52,3,46,2011
53,3,47,2011
54,8,48,2011
29,2,44,2011
55,2,35,2011
16,5,49,2011
27,2,44,2011
56,2,50,2011
51,2,51,2011
57,2,52,2011
34,2,53,2011
58,0,54,2011
59,2,51,2011
60,2,51,2011
61,0,55,2011
62,0,56,2011
63,0,57,2011
64,3,58,2011
65,0,59,2011
33,0,60,2011
66,2,61,2011
67,2,61,2011
68,0,62,2011
33,0,63,2011
12,2,15,2011
6,6,64,2011
69,2,50,2011
16,0,65,2011
70,6,66,2011
71,2,67,2011
72,2,53,2011
73,1,68,2011
74,1,69,2011
75,1,70,2011
76,9,71,2011
77,1,72,2011
78,1,72,2011
79,10,73,2011
80,1,74,2011
81,1,75,2011
82,9,76,2011
39,1,77,2011
83,5,78,2011
84,9,79,2011
16,1,80,2011
85,1,81,2011
86,1,82,2011
87,1,83,2011
88,1,83,2011
89,1,84,2011
90,1,77,2011
91,1,85,2011
92,1,77,2011
49,1,86,2011
